model,buchi,sccs,allstates,alltrans,buchisize,scclist,largest_scc,scc1k,scc10k,scc100k,persistence
lamport.8.dve,spotba,16882638,62669317,269192485,-1,5590814:1-2705080:1-2681859:1-2648540:1-2601235:1-2534816:1-1183844:1-1170479:1-1164566:1-1152134:1-1146221:1-1138104:1-1127249:1-1121336:1-1113219:1-1102202:1-484688:1-478249:1-475340:1-474021:1-469836:1-466927:1-465608:1-463128:1-461809:1-460092:1-189611:1-187096:1-185949:1-185430:1-185199:1-29920:1-4568:160-3528:150-984:150-648:3840-366:3800-100:150-80:34640-57:3800-26:34560-7:139200-1:16662156-,5590814,37104681,35844601,35814681,yes
lamport_nonatomic.1.dve,spotba,1,20434,65534,-1,20434:1-1:0-,20434,20434,20434,0,yes
lamport_nonatomic.2.dve,spotba,865,12958,41991,-1,4146:1-1904:1-1140:1-696:1-476:1-416:1-304:1-285:1-192:1-180:1-174:2-158:1-104:2-76:2-72:3-64:1-48:2-44:3-36:2-26:1-19:1-18:3-16:15-12:1-11:3-10:3-9:6-4:167-1:637-,4146,7190,0,0,yes
lamport_nonatomic.3.dve,spotba,1,36983,123337,-1,36983:1-1:0-,36983,36983,36983,0,yes
lamport_nonatomic.4.dve,spotba,1,1257304,5360727,-1,1257304:1-1:0-,1257304,1257304,1257304,1257304,yes
lamport_nonatomic.5.dve,spotba,1,95118524,505734961,-1,95118524:1-1:0-,95118524,95118524,95118524,95118524,yes
lann.1.dve,spotba,4586,18424,39673,-1,6002:1-4645:1-2673:1-522:1-1:4582-,6002,13320,0,0,yes
lann.2.dve,spotba,11704,12784,34192,-1,136:8-1:11696-,136,0,0,0,yes
lann.3.dve,spotba,224688,1832139,8725188,-1,1607452:1-1:224687-,1607452,1607452,1607452,1607452,yes
lann.4.dve,spotba,304189,966855,3189852,-1,662667:1-1:304188-,662667,662667,662667,662667,yes
lann.5.dve,spotba,983962,993914,3604487,-1,312:32-1:983930-,312,0,0,0,yes
lann.6.dve,spotba,22606897,144151628,648779852,-1,121544732:1-1:22606896-,121544732,121544732,121544732,121544732,yes
leader_filters.1.dve,spotba,4966,4966,9387,-1,1:4966-,1,0,0,0,yes
leader_filters.2.dve,spotba,29284,29284,66042,-1,1:29284-,1,0,0,0,yes
leader_filters.3.dve,spotba,91093,91093,223980,-1,1:91093-,1,0,0,0,yes
leader_filters.4.dve,spotba,50025,50025,126784,-1,1:50025-,1,0,0,0,yes
leader_filters.5.dve,spotba,1572886,1572886,4684565,-1,1:1572886-,1,0,0,0,yes
leader_filters.6.dve,spotba,220913716,220913716,730235740,-1,1:220913716-,1,0,0,0,yes
leader_filters.7.dve,spotba,26302351,26302351,91692858,-1,1:26302351-,1,0,0,0,yes
mcs.1.dve,spotba,19,7963,21503,-1,7597:1-159:2-5:8-1:8-,7597,7597,0,0,yes
mcs.2.dve,spotba,1227,1408,3222,-1,44:1-16:6-5:12-1:1208-,44,0,0,0,yes
mcs.3.dve,spotba,55,571459,2077384,-1,554221:1-7597:2-159:12-5:24-1:16-,554221,569415,554221,554221,yes
mcs.4.dve,spotba,15441,16384,53248,-1,112:1-44:8-16:24-5:32-1:15376-,112,0,0,0,yes
mcs.5.dve,spotba,163,60556519,278302279,-1,59318541:1-554221:2-7597:16-159:48-5:64-1:32-,59318541,60548535,60426983,60426983,yes
mcs.6.dve,spotba,327923,332544,1329920,-1,272:1-112:10-44:40-16:80-5:80-1:327712-,272,0,0,0,yes
peterson.1.dve,spotba,556,12498,33369,-1,11040:1-276:1-246:1-216:1-15:12-1:540-,11040,11040,11040,0,yes
peterson.2.dve,spotba,574,124704,399138,-1,119088:1-1680:1-1668:1-1656:1-15:3-1:567-,119088,124092,119088,119088,yes
peterson.3.dve,spotba,309,170156,538509,-1,161982:1-3432:1-2606:1-1680:1-36:3-27:1-21:1-1:300-,161982,169700,161982,161982,yes
peterson.4.dve,spotba,29115,1119560,3864896,-1,1023501:1-17539:1-13557:1-10976:1-10112:1-585:4-534:4-483:8-432:4-381:4-154:2-133:2-128:2-110:2-102:2-92:2-87:3-72:6-40:9-24:32-1:29024-,1023501,1075685,1075685,1023501,yes
peterson.5.dve,spotba,180591,131064750,565877635,-1,126578700:1-1081608:1-1070547:1-1060407:1-1051128:1-7052:1-7000:1-6948:2-6896:1-6844:1-24:4-1:180576-,126578700,130884078,130842390,130842390,yes
peterson.6.dve,spotba,94700,174495861,747072150,-1,168391213:1-2128558:1-1532051:1-1319602:1-939897:1-17310:2-17235:1-14460:1-9040:1-6642:1-5737:1-60:5-48:26-39:15-32:1-1:94641-,168391213,174399055,174377636,174311321,yes
peterson.7.dve,spotba,2234845,142471098,615983127,-1,132714927:1-1789020:1-1260276:1-976292:1-880432:1-821400:1-46062:4-37873:4-32778:4-31229:4-30190:4-25262:4-23880:4-21506:2-20560:4-19291:4-19104:2-18022:4-15963:2-15961:2-14225:2-12292:2-11821:2-11245:2-10924:2-10788:2-9709:3-8689:3-8431:3-7150:3-6892:3-6634:3-4035:3-3863:3-3691:3-3519:3-1038:8-962:8-886:16-810:16-734:16-658:8-582:8-303:4-276:4-264:4-240:4-225:8-216:4-204:22-186:4-183:48-168:18-150:48-147:4-132:108-117:61-102:235-60:574-35:80-1:2233439-,132714927,140066736,139870593,138442347,yes
phils.1.dve,spotba,2,80,212,-1,79:1-1:1-,79,0,0,0,yes
phils.2.dve,spotba,1,581,2350,-1,581:1-1:0-,581,0,0,0,yes
phils.3.dve,spotba,1,729,2916,-1,729:1-1:0-,729,0,0,0,yes
phils.4.dve,spotba,1,340789,3123558,-1,340789:1-1:0-,340789,340789,340789,340789,yes
phils.5.dve,spotba,2,531440,4251516,-1,531439:1-1:1-,531439,531439,531439,531439,yes
phils.6.dve,spotba,2,14348906,143489055,-1,14348905:1-1:1-,14348905,14348905,14348905,14348905,yes
phils.8.dve,spotba,2,43046720,459165008,-1,43046719:1-1:1-,43046719,43046719,43046719,43046719,yes
protocols.1.dve,spotba,1,2430,6480,-1,2430:1-1:0-,2430,2430,0,0,yes
protocols.2.dve,spotba,34,11286,42255,-1,10656:1-96:6-4:3-2:18-1:6-,10656,10656,10656,0,yes
protocols.3.dve,spotba,154,2817,7826,-1,2664:1-1:153-,2664,2664,0,0,yes
protocols.4.dve,spotba,66214,439245,1454834,-1,373032:1-1:66213-,373032,373032,373032,373032,yes
protocols.5.dve,spotba,132706,996345,3272786,-1,863640:1-1:132705-,863640,863640,863640,863640,yes
public_subscribe.1.dve,spotba,143,580,867,-1,219:1-105:1-46:1-27:1-12:4-1:135-,219,0,0,0,yes
public_subscribe.2.dve,spotba,287436,1846603,6087556,-1,628128:1-142832:1-141520:1-31830:1-9360:25-5574:2-5470:2-1140:4-920:50-720:1-708:150-529:4-304:350-204:2-105:120-96:573-46:288-27:16-12:1144-8:12-1:284689-,628128,1204958,944310,912480,yes
public_subscribe.3.dve,spotba,287436,1846603,6087556,-1,628128:1-142832:1-141520:1-31830:1-9360:25-5574:2-5470:2-1140:4-920:50-720:1-708:150-529:4-304:350-204:2-105:120-96:573-46:288-27:16-12:1144-8:12-1:284689-,628128,1204958,944310,912480,yes
public_subscribe.4.dve,spotba,287436,1846603,6087556,-1,628128:1-142832:1-141520:1-31830:1-9360:25-5574:2-5470:2-1140:4-920:50-720:1-708:150-529:4-304:350-204:2-105:120-96:573-46:288-27:16-12:1144-8:12-1:284689-,628128,1204958,944310,912480,yes
rether.1.dve,spotba,2,2458,2755,-1,2457:1-1:1-,2457,2457,0,0,yes
rether.2.dve,spotba,2,9278,10329,-1,9277:1-1:1-,9277,9277,0,0,yes
rether.3.dve,spotba,2,305334,334516,-1,305333:1-1:1-,305333,305333,305333,305333,yes
rether.4.dve,spotba,97332,1157052,1535386,-1,1013065:1-297:18-288:144-1:97169-,1013065,1013065,1013065,1013065,yes
rether.5.dve,spotba,2,3017044,3302351,-1,3017043:1-1:1-,3017043,3017043,3017043,3017043,yes
rether.6.dve,spotba,478204,5919694,7822384,-1,5350983:1-385:22-374:220-1:477961-,5350983,5350983,5350983,5350983,yes
rether.7.dve,spotba,2,4789409,5317199,-1,4789408:1-1:1-,4789408,4789408,4789408,4789408,yes
szymanski.1.dve,spotba,4,20264,56701,-1,18913:1-683:1-643:1-25:1-1:0-,18913,18913,18913,0,yes
szymanski.2.dve,spotba,4,31875,88521,-1,30310:1-772:1-768:1-25:1-1:0-,30310,30310,30310,0,yes
szymanski.3.dve,spotba,8,1128424,4234041,-1,1039303:1-30314:1-28582:1-27518:1-940:1-892:1-846:1-29:1-1:0-,1039303,1125717,1125717,1039303,yes
szymanski.4.dve,spotba,8,2313863,8550392,-1,2192089:1-42372:1-39756:1-36676:1-1025:1-960:1-956:1-29:1-1:0-,2192089,2311918,2310893,2192089,yes
szymanski.5.dve,spotba,16,79518740,375297913,-1,72662429:1-1766188:1-1663731:1-1606461:1-1565382:1-45567:1-43258:1-41836:1-41097:1-39701:1-38429:1-1239:1-1183:1-1129:1-1077:1-33:1-1:0-,72662429,79518707,79514079,79264191,yes
